(-26.3339,-144.669)
(-247.8,138.613)
(373.301,368.822)
(216.126,-678.452)
(-842.892,346.11)
(1261.47,520.856)
(-594.065,-2277.76)
(-2514.38,2479.87)
(4518.03,1411.31)
(-1598.87,-5497.34)
(-4031.96,5639.92)
(9168.3,-627.499)
(-7763.94,-9641.43)
(-5324.92,14854)
(18184.6,-3792.37)
(-15086.5,-14430.1)
(-2619,23609.8)
(24390.2,-14515.8)
(-30783,-14367.9)
(4640.58,38669.7)
(32714.3,-26564.7)
(-42194.4,-12569)
(15885.9,43836.6)
(28534.4,-42303.9)
(-56005.9,-474.217)
(30311.4,50707.5)
(27553.5,-52121.8)
(-56244,5133.96)
(35379.2,41377.4)
(13315.4,-52707.5)
(-52409.5,16996.2)
(39234.6,36933.2)
(13906.5,-47172.5)
(-41136.2,7911.8)
(22530,26237.9)
(9160.41,-28524.8)
(-28171.4,5016.55)
(14821,24879)
(20720.7,-20982)
(-25229.8,-15560.3)
(-8042.18,27519.5)
(26653.5,-2482.18)
(-14598.2,-20658.2)
(-9274.25,25006.1)
(30140.9,-5449.78)
(-19546.7,-28137.4)
(-19863.3,28765)
(30960.1,8400.39)
(-2640.2,-26297.3)
(-17536.4,10839.4)
(15716.5,7478.85)
(-1559.79,-18170.1)
(-19216.9,9140.81)
(15418.3,18984.6)
(16675.4,-20500.1)
(-23643.5,-11424.7)
(-3353.86,23357.1)
(18837.9,-6000.39)
(-14235.1,-10209.8)
(392.267,19229.9)
(20150.1,-10535.9)
(-17706.4,-17642.6)
(-13195.1,21081.2)
(20913.9,8146.3)
(3064.03,-18309.6)
(-14222.1,2153.03)
(7631.3,8861.99)
(2399.76,-12899.4)
(-16816.3,5125.73)
(12466.7,18105.2)
(16133.6,-18297.3)
(-20897.5,-11348.1)
(-5085.55,19795)
(15381.5,-1123.34)
(-6248.81,-9042.96)
(-2302.65,10020.8)
(12643.2,-3960.82)
(-9188.7,-14252.9)
(-14592.4,13536.2)
(16509,13131.8)
(9554.86,-17788.1)
(-16492.4,-4193.76)
(1914.88,12579.8)
(6488.15,-7441.98)
(-11349.9,501.36)
(6904.21,13270.8)
(13451.1,-11777)
(-14537,-12352.8)
(-10261,15560.8)
(14878.5,7170.22)
(3031.4,-12872.6)
(-9267.83,1899.53)
(6892.66,4322.28)
(-1585.08,-10944.7)
(-13207.5,7451.44)
(12093.9,13365.4)
(11704.8,-14776.9)
(-15051.3,-8845.92)
(-5370.07,13476.1)
(10388.2,1590.59)
(-2367.58,-6577.8)
(-2122.19,6318.39)
(9807.07,-2572.92)
(-7256.72,-12167.2)
(-12803.5,11252.8)
(13750.4,11516.1)
(8626.65,-14302.4)
(-12627.8,-4811.33)
(-780.768,9402.13)
(5098.1,-2991.6)
(-6295.45,-690.402)
(3588.46,9020.32)
(10946.1,-7300.29)
(-10351.7,-11708.3)
(-10960.7,12373.8)
(12903.8,8630.9)
(5062.65,-11769.3)
(-8832.92,-922.249)
(3059.98,4820.64)
(220.057,-6362.28)
(-8757.15,3959.79)
(7462.7,10214.8)
(10708,-9888.56)
(-11300.4,-10121.9)
(-8325.15,11586.6)
(10569.5,5356.66)
(1564.38,-8298.72)
(-4736.05,2437.87)
(5968.89,603.322)
(-3673.8,-8531.65)
(-9927.21,7142.82)
(9601.08,10206.2)
(9494.52,-10721.1)
(-10703,-7871.73)
(-5375.36,9633.25)
(7546.93,2128.32)
(-1536.53,-4654.1)
(-969.952,5084.53)
(7924.08,-2826.48)
(-6415.15,-9626.48)
(-10047.8,8948.25)
(10315.4,9313.22)
(7664.21,-10271.6)
(-9126.47,-5322.82)
(-2448.83,7106.57)
(4392.53,-781.085)
(-4066.21,-1297.61)
(2147.81,6966.13)
(8999.39,-5331.67)
(-8059.37,-9827.97)
(-9374.6,9607.25)
(9970.35,7828.46)
(5512.88,-8981.53)
(-7030.02,-2746.21)
(231.967,4431.66)
(1455.62,-3219.24)
(-5960.34,1528.83)
(4504.94,8115.38)
(9319.76,-6939.74)
(-8767.94,-9333.55)
(-8147.29,9391.21)
(8907.6,6000.82)
(3269.65,-7214.93)
(-4753.77,-329.579)
(2535.89,1887.66)
(-1070.9,-5121.93)
(-7227.65,3732.59)
(6113.57,8613.6)
(9029.62,-7763.12)
(-8738.98,-8331.66)
(-6572.52,8558.63)
(7412.29,4028.23)
(1101.14,-5246.78)
(-2529.4,1807.19)
(4398.31,-361.259)
(-3103.25,-6483.09)
(-7919.85,5313.06)
(7051.28,8564.81)
(8273.97,-7946.34)
(-8166.94,-6990.76)
(-4820.66,7331.28)
(5706.78,2061.55)
(-878.448,-3272.92)
(-503.38,3596.98)
(5802.8,-2232.59)
(-4627.91,-7335.37)
(-8113.35,6322.09)
(7425.49,8080.67)
(7187.63,-7638.49)
(-7225.66,-5453.4)
(-3024.73,5888.46)
(3955.35,208.095)
(-2599.38,-1423.38)
(1243.13,5013.35)
(6765.91,-3701.57)
(-5675.83,-7733.46)
(-7893.36,6838.84)
(7351.42,7267.5)
(5887.05,-6976.52)
(-6058.8,-3833.69)
(-1283.63,4365.39)
(2270.48,-1459.88)
(-4023.91,224.282)
(2675.61,6055.89)
(7322.44,-4779.1)
(-6299.76,-7741.48)
(-7345.22,6949.2)
(6936.54,6222.59)
(4471.5,-6076.91)
(-4779.56,-2222.5)
(330.32,2860.72)
(726.313,-2896.94)
(-5138.45,1628.11)
(3788.58,6743.47)
(7519.96,-5495.97)
(-6561.76,-7428.79)
(-6551.46,6737.84)
(6277.35,5032.57)
(3022.77,-5036.92)
(-3475.87,-688.323)
(1769.26,1444.42)
(-631.948,-4081.26)
(-5949.41,2772.22)
(4596.98,7109.15)
(7413.09,-5895.74)
(-6528.12,-6864.04)
(-5586.31,6284.97)
(5457.88,3769.11)
(1602.87,-3934.66)
(-2211.73,722.304)
(3006.49,160.394)
(-1784.17,-5008.42)
(-6474.83,3661.55)
(5129.58,7190.86)
(7054.74,-6027.15)
(-6261.37,-6108.66)
(-4512.79,5659.19)
(4544.78,2490.32)
(259.388,-2827.73)
(-1030.28,1976.8)
(4027.66,-966.234)
(-2724.99,-5683.93)
(-6739.46,4310.57)
(5418.96,7029.71)
(6497.22,-5937.29)
(-5817.64,-5219.69)
(-3385.97,4919.06)
(3592.22,1243.36)
(-973.011,-1759.94)
(39.3564,3056.08)
(4830.82,-1923.39)
(-3459.88,-6122.85)
(-6773.63,4741.13)
(5500.72,6667.7)
(5789.27,-5671.49)
(-5246.9,-4246.85)
(-2250.91,4113.42)
(2642.35,63.8695)
(-2071.44,-762.204)
(980.402,3951.84)
(5422.57,-2709.53)
(-4002,-6345.72)
(-6609.43,4979.14)
(5410.44,6144.9)
(4974.37,-5271.05)
(-4591.57,-3232.13)
(-1143.52,3281.11)
(1726.22,-1021.91)
(-3021.73,145.324)
(1785.27,4663.01)
(5814.79,-3329.81)
(-4368.09,-6376.01)
(-6279.45,5050.92)
(5181.25,5499.43)
(4091.81,-4772.48)
(-3887.69,-2211.39)
(-92.1332,2453.74)
(867.413,-1996.24)
(-3818.22,949.731)
(2452.94,5196.07)
(6024.83,-3794.82)
(-4578.76,-6239.66)
(-5815.21,4984.39)
(4845.1,4764.92)
(3173.69,-4208.2)
(-3164.57,-1211.79)
(883.77,1654.26)
(80.1249,-2848.96)
(-4460.69,1646.84)
(2989.18,5560.19)
(6069.98,-4119.01)
(-4654.92,-5960.24)
(-5244.27,4804.39)
(4428.07,3970.29)
(2247.43,-3602.98)
(-2443.41,-256.405)
(1767.96,898.457)
(-626.693,-3572.51)
(-4951,2235.26)
(3400.16,5766.51)
(5969.39,-4315.3)
(-4614.94,-5562.83)
(-4594.91,4532.86)
(3953.55,3143.81)
(1337.97,-2979.34)
(-1743.5,636.126)
(2550.25,200.114)
(-1246.47,-4166.11)
(-5297.52,2716.52)
(3695.3,5831)
(5744.47,-4399.75)
(-4479.34,-5071.65)
(-3891.48,4192.22)
(3443.2,2307.51)
(462.936,-2355.83)
(-1078.38,1454.22)
(3226.08,-433.499)
(-1778.77,-4632.48)
(-5509.65,3096.82)
(3886.45,5768.65)
(5414.02,-4388.29)
(-4266.21,-4507.39)
(-3154.54,3800.7)
(2913.55,1479.82)
(-363.207,-1745.7)
(-456.833,2188.81)
(3792.68,-998.75)
(-2225.32,-4975.38)
(-5597.27,3382.9)
(3984.52,5594.25)
(4996.24,-4294.74)
(-3990.74,-3889.79)
(-2403.35,3373.34)
(2378.09,677.561)
(-1127.88,-1159.76)
(113.932,2833.03)
(4249.83,-1492.77)
(-2587.98,-5201.33)
(-5572.83,3581.35)
(4000.28,5324.64)
(4510.21,-4132.9)
(-3668.22,-3237.83)
(-1654.66,2925.09)
(1849.66,-86.54)
(-1823.58,-607.193)
(629.388,3385.13)
(4601.4,-1916.1)
(-2872.14,-5319.08)
(-5448.81,3701.58)
(3945.82,4974.6)
(3971.52,-3916.02)
(-3311.49,-2566.47)
(-921.483,2467.06)
(1336.66,-802.533)
(-2444.35,-93.168)
(1087.85,3843.83)
(4851.01,-2270.52)
(-3082.83,-5336.97)
(-5237.44,3751.39)
(3831.07,4558.9)
(3395.78,-3655.2)
(-2931.69,-1890.41)
(-215.919,2009.27)
(846.942,-1462.23)
(-2986.78,377.532)
(1488.14,4210.78)
(5005.12,-2558.63)
(-3226.14,-5265.38)
(-4951.69,3739.76)
(3666.8,4091.56)
(2796.45,-3361.72)
(-2539.21,-1221.08)
(453.619,1559.98)
(385.686,-2060.9)
(-3450.01,803.204)
(1831.99,4488.88)
(5069.99,-2785.13)
(-3309.04,-5113.27)
(-4602.41,3675)
(3461.73,3584.31)
(2185.06,-3043.85)
(-2141.16,-568.799)
(1079.11,1124.6)
(-43.6887,-2593.65)
(-3832.93,1182.61)
(2120.39,4681.07)
(5052.44,-2953.2)
(-3336.7,-4890.69)
(-4201.77,3563.96)
(3223.86,3049.98)
(1573.57,-2709.94)
(-1745.31,56.873)
(1654.44,709.384)
(-437.273,-3058.46)
(-4137.71,1514.72)
(2355.34,4793.31)
(4961.37,-3067.69)
(-3316.26,-4608.37)
(-3761.01,3415.17)
(2962.05,2499.04)
(970.532,-2368.06)
(-1357.95,650.015)
(2176.75,318.087)
(-794.196,-3455.56)
(-4367.38,1801.46)
(2541.15,4830.97)
(4803.9,-3134.54)
(-3254.44,-4274.52)
(-3288.75,3235.36)
(2682.32,1939.83)
(383.362,-2023.05)
(-982.392,1204.83)
(2642.43,-47.5699)
(-1114.28,-3783.98)
(-4523.88,2044.08)
(2680.32,4798.88)
(4587.45,-3157.38)
(-3155.85,-3898.42)
(-2795.09,3029.88)
(2390.36,1382.01)
(-180.006,-1680.39)
(-623.271,1716.12)
(3049.66,-384.511)
(-1396.54,-4045.38)
(-4612.01,2243.93)
(2776.41,4704.22)
(4320.57,-3141.52)
(-3026.84,-3488.98)
(-2288.32,2805.25)
(2092.06,832.472)
(-714.658,-1344.64)
(-283.316,2181.31)
(3398.28,-692.008)
(-1642.2,-4241.96)
(-4636.03,2403.88)
(2833.54,4552.89)
(4010.27,-3091.84)
(-2872.47,-3053.62)
(-1775.59,2566.26)
(1791.44,297.376)
(-1216,-1018.72)
(35.8839,2597.79)
(3687.94,-969.875)
(-1852.36,-4375.63)
(-4599.96,2526.15)
(2854.74,4350.75)
(3663.71,-3011.92)
