(-154.276,27.9777)
(144.639,248.9)
(383.97,-385.757)
(-695.949,-202.597)
(360.221,856.038)
(513.58,-1316.45)
(-2327.11,639.511)
(2568.98,2554.56)
(1385.67,-4630.97)
(-5583.54,1712.19)
(5824.53,4023.07)
(-785.299,-9379.32)
(-9747.72,8069.95)
(15225.7,5257.37)
(-4115.28,-18468.6)
(-14455.2,15562.7)
(24098.7,2282.34)
(-15175.6,-24636.1)
(-14208.7,31564)
(39265,-5237.15)
(-27431.8,-32837.7)
(-12093.7,42987.5)
(44234.7,-16843.7)
(-43410.7,-28294.9)
(320.729,56841.5)
(50949.5,-31405.5)
(-53057.3,-27121.7)
(6043.07,56685)
(41164.8,-36390.2)
(-53444.2,-12588.8)
(17900.6,52662.3)
(36730.6,-39976.5)
(-47501.2,-13460.9)
(8343.3,41076.3)
(25911.8,-22787)
(-28605.5,-8816.66)
(5277.68,28193.3)
(24970.5,-14964.6)
(-21107.4,-20922.8)
(-15797.8,25409)
(27742.2,8179.29)
(-2546.06,-26843.2)
(-20663.9,14858.6)
(25354.2,9069.28)
(-5853.46,-30433.7)
(-28283.7,19965.3)
(29074.5,19871.6)
(8356.63,-31044.2)
(-26194.4,2643.73)
(10773,17339.6)
(7286.48,-15632.6)
(-18161.7,1682.07)
(9244.74,19348.4)
(19242.5,-15521.5)
(-20666.4,-16974.8)
(-11661.3,23795.7)
(23450.6,3467.14)
(-6000.23,-18776.5)
(-10007,14289.2)
(19284,-673.312)
(-10797.6,-20197.1)
(-17723.8,17850.2)
(21119.4,13361)
(8407.15,-20852.8)
(-18248.1,-3368.95)
(1895.36,14150.3)
(8800.78,-7500.96)
(-12923.5,-2283.93)
(5294.4,16961.1)
(18307.6,-12663.3)
(-18460.1,-16344.8)
(-11557.7,20941.7)
(19727.3,5310.33)
(-875.058,-15199.9)
(-8856,6004.86)
(9845.59,2129.16)
(-4064.16,-12603.7)
(-14379.6,9267.9)
(13598.5,14858.6)
(13468.3,-16563.3)
(-17812.3,-9887.89)
(-4477.8,16427.6)
(12438.8,-1689.21)
(-7269.08,-6261.14)
(711.88,11236)
(13247.1,-7075.62)
(-11840.3,-13556.5)
(-12604.1,14531.1)
(15501,10628.9)
(7583.84,-14799)
(-12783.4,-3407.16)
(1623.04,9134.02)
(4163.16,-6736.85)
(-10900.8,1789.1)
(7612.41,13259.9)
(13512.4,-12199.8)
(-14760.5,-11954.2)
(-9196.23,14951.8)
(13314.8,5788.08)
(2009.14,-10215.6)
(-6425.49,2028.73)
(6120.93,1971.34)
(-2699.7,-9771.95)
(-12277.1,7390.88)
(11324.8,13022.3)
(11813.4,-13765.1)
(-14201.3,-8983.45)
(-5210.32,12453.1)
(9178.08,1187.67)
(-2634.3,-4882.71)
(-526.458,6055.25)
(8948.29,-3711.57)
(-7360.67,-11054.4)
(-11968.1,10393.6)
(12346.1,11318.6)
(9034.52,-12829.6)
(-11600.1,-5473.42)
(-1313.11,8614.09)
(4575.3,-2719.57)
(-6115.28,-6.93716)
(4094.74,8652.34)
(10286.5,-7528.14)
(-9866.04,-10955.6)
(-10505.5,11246.5)
(11467,8778.73)
(5813.86,-10424)
(-8087.8,-1975.01)
(2104.31,4506.53)
(374.043,-5735.08)
(-8423.06,3848.82)
(7220.53,9971.31)
(10418.3,-9592.89)
(-10613.6,-9860.27)
(-8342.07,10563.9)
(9441.73,5876.79)
(2587.78,-7356.24)
(-4431.03,1173.38)
(4845.89,760.511)
(-3010.61,-7821.43)
(-9666.45,6528.34)
(8954.18,10236.2)
(9646.66,-10230.8)
(-10088.5,-8116.02)
(-5837.92,8921.2)
(6868.42,2951.55)
(-364.038,-4184.29)
(-1089.39,3787.05)
(6846.32,-2313.04)
(-5451.35,-9037.23)
(-10011.4,8098.37)
(9537.99,9689.29)
(8254.46,-9815.97)
(-8738.69,-6013.96)
(-3265.01,6781.32)
(4172.66,231.507)
(-2879.24,-1255.04)
(1700.32,5789.19)
(8124.88,-4609.09)
(-6984.25,-9494.5)
(-9644.36,8729.14)
(9251.07,8562.39)
(6486.83,-8695.82)
(-6931.68,-3784.06)
(-816.183,4485.32)
(1632.28,-2143.66)
(-4883.16,1241.97)
(3850.7,7177.64)
(8752.76,-6146.62)
(-7729.53,-9329.15)
(-8747.36,8626.52)
(8358.49,7058.38)
(4541.01,-7159.84)
(-4943.96,-1595.44)
(1383.11,2263.52)
(-592.317,-4101.36)
(-6360.38,3228.57)
(5367.89,7994.5)
(8825.26,-7010.28)
(-7838.31,-8679.18)
(-7484.3,7990.24)
(7085.24,5346)
(2569.34,-5431.18)
(-2969.75,433.077)
(3258.5,258.827)
(-2423.49,-5616.16)
(-7334.03,4696.62)
(6308.97,8307.49)
(8447.27,-7312.1)
(-7463.34,-7675.39)
(-5996.74,6996.6)
(5611.7,3560.22)
(683.745,-3673.78)
(-1137.43,2225.22)
(4775.93,-1450.35)
(-3839.96,-6696.95)
(-7852.06,5681)
(6757.22,8196.75)
(7722.09,-7171.36)
(-6745.18,-6433.31)
(-4399.82,5791.93)
(4074.39,1802.58)
(-1039.64,-1999.62)
(477.791,3738.34)
(5929.43,-2833.39)
(-4857.51,-7372.74)
(-7973.19,6239.57)
(6803.17,7743.22)
(6744.2,-6699.1)
(-5802.46,-5051.28)
(-2785.43,4489.96)
(2570.79,148.324)
(-2550.89,-480.2)
(1837.73,4953.27)
(6731.75,-3889.16)
(-5511.24,-7685.18)
(-7761.75,6438.09)
(6534.12,7025.97)
(5598.79,-5993.16)
(-4732.46,-3611.87)
(-1224.97,3177.45)
(1168.79,-1350.1)
(-3822.43,841.953)
(2929.39,5870.3)
(7210.29,-4635.35)
(-5847.03,-7684.42)
(-7283.69,6344.63)
(6031.55,6118.59)
(4358.88,-5138.4)
(-3613.71,-2180.04)
(231.115,1918.39)
(-88.3475,-2661.78)
(-4845.91,1948.16)
(3760.08,6504.02)
(7400.14,-5103.85)
(-5917.14,-7421.14)
(-6598.87,6025)
(5366.48,5083.3)
(3082.74,-4202.59)
(-2503.41,-804.651)
(1547.81,754.036)
(-1178.48,-3768.86)
(-5622.54,2836.62)
(4347.75,6874.7)
(7338.29,-5330.16)
(-5770.58,-6944.56)
(-5762.79,5536.18)
(4597.34,3975.43)
(1819.5,-3238.97)
(-1443.93,476.293)
(2701.84,-288.181)
(-2091.34,-4664.99)
(-6163.38,3514.61)
(4716.05,7009.42)
(7064.62,-5351.51)
(-5454.04,-6302.51)
(-4825.46,4929.05)
(3773.31,2841.44)
(607.156,-2289.47)
(-465.429,1636.9)
(3681.67,-1192.72)
(-2827.04,-5353.7)
(-6486.33,3997.25)
(4893.01,6938.33)
(6617.96,-5205.58)
(-5010.6,-5537.95)
(-3829.06,4247.19)
(2933.53,1718.14)
(-526.508,-1384.41)
(413.656,2660.84)
(4483.51,-1954.44)
(-3393.47,-5843.81)
(-6611.79,4303.93)
(4907,6691.3)
(6034.51,-4926.66)
(-4476.95,-4689.44)
(-2810.1,3525.93)
(2108.25,635.844)
(-1560.64,-545.73)
(1181.99,3538.73)
(5110.13,-2573.63)
(-3802.21,-6149.5)
(-6563.56,4455.91)
(4786.49,6298.95)
(5348.23,-4547.19)
(-3885.97,-3790.4)
(-1797.72,2794.95)
(1320.61,-383.639)
(-2482.81,212.529)
(1836.04,4268.32)
(5569.08,-3057.23)
(-4069.38,-6286.94)
(-6364.48,4476.15)
(4558.4,5788.44)
(4587.88,-4095.04)
(-3263.57,-2868.3)
(-815.343,2075.62)
(585.427,-1323.35)
(-3284.13,883.389)
(2377.04,4849.56)
(5869.05,-3414.2)
(-4210.31,-6272.58)
(-6037.17,4384.57)
(4245.14,5186.28)
(3781.06,-3593.04)
(-2630.9,-1948.75)
(116.431,1385.47)
(-85.2253,-2170.15)
(-3960.47,1461.64)
(2807.39,5287.59)
(6023.54,-3654.35)
(-4241.16,-6126.43)
(-5605.58,4201.75)
(3869.31,4517.59)
(2951.31,-3063.15)
(-2006.82,-1051.25)
(984.097,738.163)
(-684.293,-2917.71)
(-4512.97,1947.49)
(3134.33,5590.6)
(6046.57,-3790.88)
(-4179.3,-5866.69)
(-5090.2,3947.06)
(3450.1,3803.09)
(2117.57,-2522.39)
(-1404.55,-191.093)
(1777.53,141.914)
(-1209.28,-3562.05)
(-4944.14,2344.28)
(3366.5,5767.09)
(5951.61,-3836.58)
(-4040.09,-5510.27)
(-4509.7,3636.63)
(3002.65,3061.45)
(1296.74,-1983.49)
(-833.393,618.241)
(2488.1,-398.001)
(-1659.22,-4100.5)
(-5257.72,2655.34)
(3511.27,5826.95)
(5753.64,-3802.27)
(-3836.85,-5075.55)
(-3883.62,3285.06)
(2541.37,2311.02)
(503.792,-1459.08)
(-302.714,1366.91)
(3112.13,-876.722)
(-2034.49,-4535.69)
(-5461.95,2886.37)
(3578.95,5782.7)
(5467.71,-3701.48)
(-3584.48,-4578.31)
(-3226.92,2906.58)
(2078.1,1564.67)
(-251.405,-957.413)
(183.426,2048.71)
(3647.54,-1294.38)
(-2339.01,-4869.9)
(-5563.39,3044.37)
(3578.83,5644.65)
(5106.95,-3544.86)
(-3294.01,-4033.15)
(-2554.1,2511.63)
(1621.73,835.237)
(-959.145,-485.01)
(621.494,2658.17)
(4093.74,-1650.8)
(-2576.02,-5107.43)
(-5570.69,3135.75)
(3519.86,5424.74)
(4685.13,-3342.91)
(-2976.33,-3454.09)
(-1877.9,2110.23)
(1180.28,132.864)
(-1612.83,-47.0096)
(1009.72,3192.78)
(4452.43,-1947.68)
(-2750.43,-5253.94)
(-5492.78,3168)
(3411.2,5134.13)
(4214.41,-3105.46)
(-2640.8,-2853.06)
(-1208.84,1710.24)
(759.329,-534.306)
(-2207.39,353.766)
(1348.15,3651)
(4725.72,-2187.74)
(-2867.19,-5315.02)
(-5338.22,3147.74)
(3260.52,4783.55)
(3706.62,-2840.49)
(-2295.01,-2241.67)
(-557.059,1318.19)
(363.72,-1158.76)
(-2738.8,714.603)
(1636.5,4032.78)
(4917.57,-2373.22)
(-2930.95,-5298.19)
(-5117.18,3081.66)
(3075.92,4384.54)
(3173.24,-2556.65)
(-1947.17,-1629.97)
(69.9831,940.756)
(-2.26074,-1736.31)
(-3206.42,1034.23)
(1876.67,4340.79)
(5033.42,-2508.89)
(-2948.65,-5210.85)
(-4838.14,2977.87)
(2865.61,3945.82)
(2622.43,-2261.2)
(-1602.72,-1024.95)
(666.899,581.088)
(-337.907,-2263.52)
(-3608.96,1314.13)
(2071.86,4576.03)
(5076.63,-2599.07)
(-2925.19,-5058.63)
(-4508.68,2841.43)
(2634.49,3476.27)
(2063.46,-1958.66)
(-1265.63,-435.198)
(1226.94,242.316)
(-641.234,-2736.4)
(-3945.78,1553.8)
(2223.28,4741.37)
(5053.17,-2646.78)
(-2865.21,-4849.81)
(-4138.29,2678.2)
(2388.98,2985.36)
(1504.67,-1655.2)
(-940.976,133.037)
(1746.48,-72.2731)
(-911.167,-3154.17)
(-4218.81,1754.49)
(2334.28,4841.04)
(4969.04,-2656.96)
(-2774.62,-4591.49)
(-3734.42,2494.27)
(2134.68,2480.21)
(952.159,-1355.31)
(-631.672,675.205)
(2222.88,-361.615)
(-1148.53,-3516.25)
(-4429.48,1918.7)
(2408.57,4878.29)
(4829,-2634)
(-2657.87,-4289.58)
(-3303.75,2293.75)
(1875.01,1967.74)
(412.438,-1061.61)
(-339.535,1185.9)
(2652.58,-624.688)
(-1353.13,-3821.52)
(-4579.47,2047.15)
(2447.99,4857.55)
(4639.74,-2580.89)
(-2519.09,-3952.16)
(-2854.58,2081.51)
(1615.09,1455.26)
(-109.091,-778.661)
(-67.7883,1662.24)
(3035.36,-860.235)
(-1525.94,-4072.12)
(-4672.68,2142.92)
(2457.12,4783.79)
(4406.69,-2502.94)
(-2363.42,-3584.63)
(-2391.96,1861.86)
(1357.91,947.287)
(-608.729,-507.984)
(183.415,2101.6)
(3369.93,-1069.24)
(-1668.79,-4268.36)
(-4711.16,2208.41)
(2438.72,4660.76)
(4134.99,-2403.09)
(-2193.85,-3193.03)
(-1922.18,1637.64)
(1105.99,449.585)
(-1081.94,-251.569)
(412.829,2501.24)
(3655.73,-1251.4)
(-1782.44,-4411.93)
(-4698.63,2245.48)
(2395.63,4493.71)
(3830.81,-2284.91)
(-2014.27,-2783.66)
(-1450.9,1412.62)
(862.495,-33.4671)
(-1526.05,-11.5127)
(619.74,2860.41)
(3893.84,-1407.53)
(-1869.13,-4505.46)
(-4638.84,2257.43)
(2331.72,4287.06)
(3498.73,-2152.23)
(-1827.99,-2360.96)
(-982.135,1189.16)
(628.672,-498.505)
(-1938.58,212.014)
(804.865,3177.73)
(4084.19,-1538.98)
(-1930.57,-4550.33)
(-4534.66,2246.19)
(2249.01,4045)
(3143.96,-2007.13)
(-1637.09,-1930.53)
(-521.208,969.321)
(406.406,-941.21)
(-2316.84,417.53)
(967.39,3452.54)
(4228.28,-1645.87)
(-1968,-4549.95)
(-4390.9,2214.09)
(2150.7,3773.02)
(2771.89,-1853.27)
(-1445.17,-1497.03)
(-71.5285,756.03)
(197.537,-1359.66)
(-2660.44,604.582)
(1108.28,3685.81)
(4328.13,-1730.41)
(-1984.45,-4507.1)
(-4210.75,2164.47)
(2039.93,3474.51)
(2385.89,-1693.16)
(-1253.82,-1063.68)
(363.969,549.929)
(1.86819,-1751.42)
(-2967.64,773.965)
(1228.64,3876.81)
(4384.3,-1793.79)
(-1981.07,-4423.76)
(-3997.61,2098.5)
(1917.96,3153.98)
(1991.1,-1528.23)
(-1064.71,-635.512)
(781.096,352.794)
(-178.959,-2113.78)
(-3237.68,924.537)
(1328.16,4026.79)
(4399.78,-1836.78)
(-1959.77,-4304.15)
(-3756.23,2018.98)
(1788.04,2816.03)
(1591.43,-1361.67)
(-880.417,-215.396)
(1178.17,166.183)
(-344.578,-2446.23)
(-3471.11,1057.1)
(1408.6,4137.17)
(4376.73,-1861.8)
(-1923.22,-4150.93)
(-3489.57,1928.49)
(1652.4,2463.71)
(1189.74,-1195.06)
(-701.768,194.17)
(1553.26,-9.87865)
(-495.668,-2747.52)
(-3667.41,1172.86)
